<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170301;130000;133.7200000;134.4400000;133.5200000;134.0800000
GAZP;60;20170301;140000;134.0500000;134.5000000;133.8400000;133.9500000
GAZP;60;20170301;150000;133.9500000;134.0300000;133.2800000;133.9300000
GAZP;60;20170301;160000;133.9300000;134.0900000;133.3000000;133.9100000
GAZP;60;20170301;170000;133.8900000;134.2400000;133.6200000;134.0900000
GAZP;60;20170301;180000;134.0900000;134.2300000;133.7200000;134.2300000
GAZP;60;20170301;190000;134.2300000;134.5000000;133.8500000;133.8500000
GAZP;60;20170302;110000;134.0500000;134.9200000;133.7300000;134.6700000
GAZP;60;20170302;120000;134.6400000;135.1000000;133.8200000;134.5000000
GAZP;60;20170302;130000;134.5100000;134.5700000;132.9100000;133.2400000
GAZP;60;20170302;140000;133.2500000;133.4600000;132.4500000;132.8200000
GAZP;60;20170302;150000;132.8400000;132.9900000;132.3500000;132.7000000
GAZP;60;20170302;160000;132.6900000;132.9000000;132.0000000;132.2000000
GAZP;60;20170302;170000;132.1800000;133.0800000;132.1000000;133.0000000
GAZP;60;20170302;180000;133.0000000;133.0000000;131.3000000;131.6700000
GAZP;60;20170302;190000;131.6300000;131.8800000;131.3000000;131.3000000
GAZP;60;20170303;110000;131.1500000;132.7300000;130.6400000;132.6000000
GAZP;60;20170303;120000;132.6000000;133.6700000;132.1500000;133.5800000
GAZP;60;20170303;130000;133.5800000;133.9400000;132.9100000;133.0100000
GAZP;60;20170303;140000;133.0300000;133.2000000;132.6000000;132.9000000
GAZP;60;20170303;150000;132.8500000;133.6700000;132.8200000;133.5400000
GAZP;60;20170303;160000;133.5600000;133.7900000;133.3600000;133.6200000
GAZP;60;20170303;170000;133.6200000;134.0900000;133.3500000;133.5100000
GAZP;60;20170303;180000;133.5300000;134.8800000;133.4800000;134.8500000
GAZP;60;20170303;190000;134.8600000;134.9000000;134.2100000;134.8000000
GAZP;60;20170306;110000;134.8400000;135.9700000;134.8300000;135.2300000
GAZP;60;20170306;120000;135.2500000;135.8300000;134.8600000;135.2900000
GAZP;60;20170306;130000;135.2800000;135.4900000;134.5500000;135.4200000
GAZP;60;20170306;140000;135.4000000;135.7500000;135.3000000;135.4500000
GAZP;60;20170306;150000;135.4300000;135.8900000;135.3300000;135.8000000
GAZP;60;20170306;160000;135.8000000;135.8500000;135.3500000;135.5200000
GAZP;60;20170306;170000;135.5100000;135.5300000;134.8800000;134.9200000
GAZP;60;20170306;180000;134.9100000;135.1200000;134.7100000;135.0000000
